,count,mean,std,min,25%,50%,75%,max
Alicycliphilus denitrificans,105.0,0.029276190476190466,0.013974217494326988,0.01,0.021,0.027,0.034,0.102
Amycolatopsis keratiniphila,105.0,0.03439999999999999,0.018401818472013116,0.006,0.017,0.0349999999999999,0.05,0.074
Anaerolinea thermophila,105.0,0.0022952380952380954,0.0011760740551301108,0.0,0.001,0.002,0.003,0.005
Arcanobacterium phocae,105.0,0.00019047619047619048,0.0003945600786669322,0.0,0.0,0.0,0.0,0.001
Archangium gephyra,105.0,0.11283809523809525,0.26572741686408663,0.01,0.0349999999999999,0.05,0.08,2.4410000000000003
Azospirillum thiophilum,105.0,0.03545714285714285,0.012260810435182193,0.012,0.027,0.0349999999999999,0.042,0.066
Bacillus phage BM5,105.0,8.571428571428573e-05,0.0003136106636446668,0.0,0.0,0.0,0.0,0.002
Bathymodiolus septemdierum thioautotrophic gill symbiont,105.0,9.523809523809524e-05,0.00029495141463694826,0.0,0.0,0.0,0.0,0.001
Bifidobacterium thermophilum,105.0,0.002057142857142857,0.0010904178047936438,0.0,0.001,0.002,0.003,0.004
Bradyrhizobium erythrophlei,105.0,1.9751142857142858,1.1228601898918475,0.305,1.125,1.6209999999999998,2.788,4.601999999999999
Bradyrhizobium oligotrophicum,105.0,0.1706095238095238,0.06503305302189022,0.038,0.126,0.166,0.223,0.317
Brevibacterium sandarakinum,105.0,0.0061523809523809396,0.003245650795179458,0.001,0.003,0.006,0.009,0.0139999999999999
Buchnera aphidicola,105.0,0.0005904761904761904,0.0005493919382658448,0.0,0.0,0.001,0.001,0.002
Burkholderia phage KS14,105.0,0.0014761904761904725,0.004005033463067813,0.0,0.0,0.0,0.001,0.027
Caldilinea aerophila,105.0,0.006895238095238083,0.0034722078143779194,0.001,0.004,0.0069999999999999,0.009,0.015
Candidatus Accumulibacter phosphatis,105.0,0.0223047619047619,0.011130453554864521,0.006,0.013,0.022,0.0279999999999999,0.06
Candidatus Amoebophilus asiaticus,105.0,0.0008190476190476192,0.000769377275425647,0.0,0.0,0.001,0.001,0.003
Candidatus Azobacteroides pseudotrichonymphae,105.0,5.714285714285714e-05,0.00023322865260427244,0.0,0.0,0.0,0.0,0.001
Candidatus Desulfovibrio trichonymphae,105.0,0.0008095238095238097,0.0006664376896148612,0.0,0.0,0.001,0.001,0.002
Candidatus Methanomethylophilus alvus,105.0,0.00010476190476190476,0.0003077152006135619,0.0,0.0,0.0,0.0,0.001
Candidatus Nucleicultrix amoebiphila,105.0,0.0003619047619047619,0.000482856275873249,0.0,0.0,0.0,0.001,0.001
Candidatus Phaeomarinobacter ectocarpi,105.0,0.006771428571428553,0.0030263494855669215,0.002,0.004,0.0069999999999999,0.009,0.016
Candidatus Planktophila dulcis,105.0,0.00017142857142857145,0.0003786906302070245,0.0,0.0,0.0,0.0,0.001
Candidatus Planktophila lacus,105.0,0.000542857142857143,0.000500549148984843,0.0,0.0,0.001,0.001,0.001
Candidatus Planktophila versatilis,105.0,0.0002761904761904762,0.00044925661022571705,0.0,0.0,0.0,0.001,0.001
Candidatus Protochlamydia amoebophila,105.0,0.0017619047619047592,0.0016438920136009308,0.0,0.001,0.001,0.003,0.0069999999999999
Candidatus Protochlamydia naegleriophila,105.0,0.0005142857142857143,0.0006521309111480035,0.0,0.0,0.0,0.001,0.003
Candidatus Thiodictyon syntrophicum,105.0,0.017885714285714276,0.008444746074556437,0.005,0.01,0.018,0.023,0.039
Candidatus Xiphinematobacter sp. Idaho Grape,105.0,0.002819047619047617,0.0018799598624037323,0.0,0.001,0.003,0.004,0.01
Capnocytophaga canimorsus,105.0,0.0003333333333333334,0.0004736654667156709,0.0,0.0,0.0,0.001,0.001
Capnocytophaga haemolytica,105.0,0.0001238095238095238,0.00033094381626464864,0.0,0.0,0.0,0.0,0.001
Capnocytophaga leadbetteri,105.0,6.666666666666667e-05,0.0002506402059138015,0.0,0.0,0.0,0.0,0.001
Capnocytophaga ochracea,105.0,0.004285714285714277,0.0024679261213940897,0.0,0.003,0.004,0.006,0.0139999999999999
Capnocytophaga sputigena,105.0,0.00025714285714285715,0.0004391550328268399,0.0,0.0,0.0,0.001,0.001
Capnocytophaga stomatis,105.0,8.571428571428573e-05,0.00028128433856309723,0.0,0.0,0.0,0.0,0.001
Carboxydocella thermautotrophica,105.0,0.0006190476190476191,0.0005072731092084493,0.0,0.0,0.001,0.001,0.002
Catenulispora acidiphila,105.0,0.22820952380952378,0.2802582838698183,0.01,0.0279999999999999,0.068,0.369,1.424
Cellulophaga algicola,105.0,0.00010476190476190476,0.0003077152006135619,0.0,0.0,0.0,0.0,0.001
Cellulophaga baltica,105.0,0.00028571428571428574,0.0004539206495016018,0.0,0.0,0.0,0.001,0.001
Cellulophaga lytica,105.0,0.001142857142857143,0.0008596574835427125,0.0,0.001,0.001,0.001,0.004
Chamaesiphon minutus,105.0,0.001342857142857143,0.0008184010140390956,0.0,0.001,0.001,0.002,0.004
Chitinophaga caeni,105.0,0.002190476190476191,0.001169280170539173,0.001,0.001,0.002,0.003,0.008
Chitinophaga pinensis,105.0,0.006980952380952374,0.013684621458734784,0.001,0.003,0.005,0.006,0.106
Chitinophaga sp. MD30,105.0,0.0065523809523809415,0.003637362084038776,0.002,0.004,0.006,0.008,0.023
Chloracidobacterium thermophilum,105.0,0.013361904761904755,0.007990527817268068,0.002,0.006,0.0139999999999999,0.018,0.033
Chlorobium phaeobacteroides,105.0,0.0014761904761904764,0.0008559209850218259,0.0,0.001,0.001,0.002,0.004
Chlorobium phaeovibrioides,105.0,0.0006476190476190477,0.0005185214256561331,0.0,0.0,0.001,0.001,0.002
Chryseobacterium arthrosphaerae,105.0,0.0024571428571428557,0.006218812296059944,0.0,0.0,0.001,0.001,0.043
Cnuibacter physcomitrellae,105.0,0.007752380952380936,0.0037023406120082944,0.002,0.004,0.008,0.011,0.019
Corynebacterium diphtheriae,105.0,0.0016380952380952384,0.0009315393538469363,0.0,0.001,0.002,0.002,0.005
Corynebacterium glyciniphilum,105.0,0.004399999999999989,0.0023229622997702278,0.001,0.002,0.004,0.006,0.01
Corynebacterium phocae,105.0,0.0012857142857142859,0.0007559289460184544,0.0,0.001,0.001,0.002,0.003
Corynebacterium sphenisci,105.0,0.010742857142857134,0.006397157679284323,0.002,0.005,0.011,0.016,0.026
Croceicoccus naphthovorans,105.0,0.014133333333333315,0.006078123867081834,0.005,0.01,0.013,0.017,0.038
Cytophaga hutchinsonii,105.0,0.0012857142857142859,0.0006753102665027062,0.0,0.001,0.001,0.002,0.004
Cytophagales bacterium TFI 002,105.0,0.0004952380952380952,0.0005211638145647888,0.0,0.0,0.0,0.001,0.002
Denitrovibrio acetiphilus,105.0,0.0003428571428571429,0.00047694080080501336,0.0,0.0,0.0,0.001,0.001
Dermatophilus congolensis,105.0,0.0028095238095238086,0.0015938296773159396,0.0,0.001,0.003,0.004,0.0069999999999999
Desulfobacterium autotrophicum,105.0,0.0014380952380952383,0.000719559287179012,0.0,0.001,0.001,0.002,0.003
Desulfosporosinus acidiphilus,105.0,0.0002857142857142857,0.0004539206495016018,0.0,0.0,0.0,0.001,0.001
Desulfotalea psychrophila,105.0,0.0004952380952380952,0.0005023753102820166,0.0,0.0,0.0,0.001,0.001
Desulfurivibrio alkaliphilus,105.0,0.0035999999999999947,0.0019542852323114787,0.001,0.002,0.004,0.005,0.008
Diaphorobacter polyhydroxybutyrativorans,105.0,0.002780952380952379,0.0010829176435494098,0.001,0.002,0.003,0.003,0.0069999999999999
Dietzia psychralcaliphila,105.0,0.009876190476190462,0.005269095744373024,0.002,0.005,0.01,0.0139999999999999,0.024
Elizabethkingia anophelis,105.0,0.0014476190476190478,0.0012858770755713213,0.0,0.001,0.001,0.002,0.008
Ferriphaselus amnicola,105.0,0.005390476190476179,0.0024277848327516854,0.002,0.003,0.005,0.0069999999999999,0.0139999999999999
Fictibacillus phosphorivorans,105.0,0.00010476190476190476,0.00030771520061356197,0.0,0.0,0.0,0.0,0.001
Flavobacterium branchiophilum,105.0,0.0007523809523809525,0.0007439622661666743,0.0,0.0,0.001,0.001,0.004
Flavobacterium psychrophilum,105.0,0.001961904761904761,0.001604823315962809,0.0,0.001,0.001,0.002,0.01
Formosa agariphila,105.0,0.0003333333333333334,0.0004736654667156709,0.0,0.0,0.0,0.001,0.001
Gemmatimonas phototrophica,105.0,0.021780952380952373,0.013748413161847611,0.003,0.009,0.023,0.031,0.067
Geodermatophilus obscurus,105.0,0.10849523809523809,0.06124636940723724,0.018,0.066,0.102,0.1379999999999999,0.295
Gloeomargarita lithophora,105.0,0.0005809523809523809,0.0004957696499257954,0.0,0.0,0.001,0.001,0.001
Gluconacetobacter diazotrophicus,105.0,0.01763809523809522,0.008849297896447684,0.004,0.01,0.016,0.024,0.041
Glutamicibacter halophytocola,105.0,0.0043714285714285565,0.0023215426852764,0.001,0.002,0.004,0.006,0.012
Gordonia phage GMA4,105.0,0.0016761904761904752,0.003429216209212216,0.0,0.0,0.0,0.002,0.021
Gordonia phthalatica,105.0,0.014838095238095223,0.0076687726045354425,0.003,0.008,0.015,0.021,0.0349999999999999
Haemophilus influenzae,105.0,0.0004095238095238095,0.0004941044364698562,0.0,0.0,0.0,0.001,0.001
Halobacillus halophilus,105.0,0.00016190476190476192,0.0003701301622353101,0.0,0.0,0.0,0.0,0.001
Halorhodospira halophila,105.0,0.008457142857142845,0.004197134030017865,0.002,0.005,0.008,0.011,0.019
Hartmannibacter diazotrophicus,105.0,0.029428571428571422,0.012007094972154159,0.009,0.02,0.03,0.037,0.064
Hoeflea phototrophica,105.0,0.011838095238095222,0.004612115753275472,0.004,0.008,0.012,0.015,0.026
Hydrogenophaga crassostreae,105.0,0.01222857142857142,0.0046311178723125596,0.005,0.009,0.012,0.0139999999999999,0.033
Hydrogenophaga sp. PBC,105.0,0.03808571428571427,0.018421932103272514,0.0139999999999999,0.027,0.034,0.045,0.135
Hydrogenophaga sp. RAC07,105.0,0.02908571428571428,0.013088540411745307,0.011,0.021,0.026,0.034,0.096
Hydrogenophilus thermoluteolus,105.0,0.0042857142857142825,0.0023481346349254004,0.001,0.002,0.004,0.006,0.012
Hyphomicrobium denitrificans,105.0,0.042780952380952364,0.021017383351178684,0.009,0.027,0.043,0.053,0.1129999999999999
Hyphomicrobium nitrativorans,105.0,0.027219047619047615,0.011854876432848011,0.006,0.019,0.027,0.033,0.065
Hyphomicrobium sp. MC1,105.0,0.023066666666666655,0.011223487277431492,0.005,0.015,0.023,0.029,0.063
Hyphomonas neptunium,105.0,0.007428571428571414,0.002871803048130689,0.002,0.005,0.008,0.009,0.0139999999999999
Hyphomonas sp. CACIAM 19H1,105.0,0.008409523809523796,0.003139987867735134,0.003,0.006,0.009,0.01,0.015
Hyphomonas sp. Mor2,105.0,0.004485714285714283,0.0017926896730154523,0.001,0.003,0.005,0.006,0.009
Isosphaera pallida,105.0,0.009533333333333328,0.006134810301541311,0.001,0.004,0.01,0.013,0.029
Jatrophihabitans sp. GAS493,105.0,0.028933333333333325,0.019579849662868014,0.004,0.011,0.026,0.044,0.075
Jiangella alkaliphila,105.0,0.061742857142857134,0.03370574836029416,0.011,0.03,0.062,0.089,0.145
Kibdelosporangium phytohabitans,105.0,0.05072380952380952,0.0284829555098967,0.008,0.024,0.049,0.076,0.11
Kocuria rhizophila,105.0,0.003609523809523807,0.0023390301988350324,0.0,0.002,0.003,0.005,0.012
Lachnoclostridium phocaeense,105.0,0.0006190476190476191,0.0005072731092084493,0.0,0.0,0.001,0.001,0.002
Lachnoclostridium phytofermentans,105.0,7.61904761904762e-05,0.0003004880035759169,0.0,0.0,0.0,0.0,0.002
Lacimicrobium alkaliphilum,105.0,0.0012571428571428573,0.000500549148984843,0.0,0.001,0.001,0.002,0.002
Lacunisphaera limnophila,105.0,0.03611428571428571,0.02220200713627308,0.006,0.016,0.033,0.051,0.127
Leadbetterella byssophila,105.0,0.0006476190476190477,0.000554369919210997,0.0,0.0,0.001,0.001,0.002
Legionella pneumophila,105.0,0.0014095238095238097,0.0009374191051789903,0.0,0.001,0.001,0.002,0.006
Leptospirillum ferriphilum,105.0,0.0007523809523809525,0.0006167681334204374,0.0,0.0,0.001,0.001,0.002
Lysinibacillus sphaericus,105.0,0.0005523809523809524,0.000554369919210997,0.0,0.0,0.001,0.001,0.002
Magnetospirillum gryphiswaldense,105.0,0.026780952380952367,0.011892128094782307,0.008,0.017,0.026,0.034,0.0569999999999999
Marinobacter hydrocarbonoclasticus,105.0,0.0030380952380952386,0.0010370428513122663,0.001,0.002,0.003,0.004,0.006
Marinobacter psychrophilus,105.0,0.0007714285714285716,0.0004441314526722323,0.0,0.001,0.001,0.001,0.002
Martelella endophytica,105.0,0.014285714285714277,0.005030129004528392,0.005,0.01,0.0139999999999999,0.017,0.029
Megasphaera elsdenii,105.0,0.0021523809523809525,0.001007481173530461,0.001,0.001,0.002,0.003,0.005
Megasphaera hexanoica,105.0,0.0004761904761904762,0.0005018281596637457,0.0,0.0,0.0,0.001,0.001
Megasphaera stantonii,105.0,0.0015714285714285717,0.0008418973861410954,0.0,0.001,0.002,0.002,0.003
Mesorhizobium amorphae,105.0,0.1191047619047619,0.09507900801737344,0.0279999999999999,0.0569999999999999,0.088,0.149,0.6819999999999999
Mesorhizobium phage vB_MloP_Lo5R7ANS,105.0,0.0005238095238095229,0.0012254923507845693,0.0,0.0,0.0,0.0,0.0069999999999999
Metallosphaera sedula,105.0,0.0001523809523809524,0.00045533065713391986,0.0,0.0,0.0,0.0,0.003
Methanosphaerula palustris,105.0,0.0008000000000000001,0.0006850042111044057,0.0,0.0,0.001,0.001,0.002
Methylacidiphilum fumariolicum,105.0,0.00039047619047619044,0.0004901969403138297,0.0,0.0,0.0,0.001,0.001
Methylacidiphilum infernorum,105.0,0.0018380952380952385,0.0011939254061531126,0.0,0.001,0.002,0.003,0.006
Methylibium petroleiphilum,105.0,0.07386666666666666,0.042182311884217956,0.021,0.054,0.064,0.084,0.3399999999999999
Methylobacterium phyllosphaerae,105.0,0.01742857142857142,0.007204241729779681,0.005,0.012,0.017,0.021,0.038
Methyloceanibacter sp. wino2,105.0,0.022542857142857135,0.010789086875375307,0.004,0.015,0.022,0.029,0.06
Methylocystis bryophila,105.0,0.025342857142857122,0.016764103460524364,0.005,0.012,0.023,0.033,0.098
Methylomicrobium alcaliphilum,105.0,0.0033238095238095227,0.0015596796891030923,0.001,0.002,0.003,0.004,0.008
Methylophaga frappieri,105.0,0.0003047619047619048,0.0004625142310452879,0.0,0.0,0.0,0.001,0.001
Methylophaga nitratireducenticrescens,105.0,0.0006761904761904763,0.0004701725970984178,0.0,0.0,0.001,0.001,0.001
Methylophilus sp. TWE2,105.0,0.000885714285714286,0.0004664573052085449,0.0,0.001,0.001,0.001,0.002
Methylovorus glucosotrophus,105.0,0.002704761904761905,0.0010088436785575692,0.001,0.002,0.003,0.003,0.006
Microcella alkaliphila,105.0,0.014447619047619032,0.005680569026855016,0.003,0.01,0.0139999999999999,0.018,0.034
Microchaete diplosiphon,105.0,0.00014285714285714287,0.00035160542320387153,0.0,0.0,0.0,0.0,0.001
Microlunatus phosphovorus,105.0,0.03672380952380951,0.01987484651033873,0.0069999999999999,0.019,0.037,0.049,0.088
Mycobacterium dioxanotrophicus,105.0,0.04649523809523809,0.016924108776401135,0.015,0.036,0.046,0.0559999999999999,0.12
Mycobacterium haemophilum,105.0,0.014504761904761888,0.007165789195792383,0.003,0.009,0.0139999999999999,0.019,0.038
Mycolicibacterium phlei,105.0,0.042142857142857135,0.01576048403897726,0.013,0.032,0.042,0.051,0.12
Natronomonas pharaonis,105.0,0.0009904761904761907,0.0006577239030176208,0.0,0.001,0.001,0.001,0.002
Nitrosococcus halophilus,105.0,0.0012190476190476192,0.0007068477202578358,0.0,0.001,0.001,0.002,0.003
Nitrosomonas eutropha,105.0,0.0009809523809523814,0.00043811116390865,0.0,0.001,0.001,0.001,0.002
Nitrososphaera viennensis,105.0,0.0017333333333333317,0.0016598578870277373,0.0,0.001,0.001,0.002,0.009
Nostoc sphaeroides,105.0,0.0008952380952380955,0.0007957073476788958,0.0,0.0,0.001,0.001,0.005
Novibacillus thermophilus,105.0,0.0014761904761904764,0.0008446123154264111,0.0,0.001,0.001,0.002,0.003
Novosphingobium aromaticivorans,105.0,0.023952380952380944,0.011450882525932696,0.008,0.017,0.02,0.027,0.065
Novosphingobium pentaromativorans,105.0,0.017361904761904752,0.008457045093980034,0.006,0.012,0.015,0.019,0.061
Novosphingobium resinovorum,105.0,0.08076190476190477,0.17777213828433056,0.015,0.026,0.037,0.0559999999999999,1.637
Novosphingobium sp. P6W,105.0,0.0687142857142857,0.1077963459390076,0.012,0.018,0.03,0.0699999999999999,0.84
Novosphingobium sp. PP1Y,105.0,0.016838095238095225,0.009567697867869917,0.006,0.011,0.0139999999999999,0.019,0.076
Novosphingobium sp. THN1,105.0,0.018590476190476178,0.009022083204448153,0.006,0.013,0.016,0.021,0.058
Novosphingobium tardaugens,105.0,0.011390476190476177,0.004820818710581541,0.004,0.008,0.01,0.013,0.03
Oblitimonas alkaliphila,105.0,0.0005619047619047619,0.0004985326454052919,0.0,0.0,0.001,0.001,0.001
Oceanisphaera avium,105.0,0.00011428571428571428,0.0003196839098200005,0.0,0.0,0.0,0.0,0.001
Oceanisphaera profunda,105.0,0.0007238095238095239,0.0004901969403138297,0.0,0.0,0.001,0.001,0.002
Oleiphilus messinensis,105.0,0.0008380952380952383,0.0003701301622353102,0.0,0.001,0.001,0.001,0.001
Oligotropha carboxidovorans,105.0,0.05697142857142856,0.02645913290880323,0.01,0.037,0.0559999999999999,0.073,0.147
Paenibacillus naphthalenovorans,105.0,0.001666666666666667,0.000792593923901217,0.0,0.001,0.002,0.002,0.004
Paenibacillus physcomitrellae,105.0,0.001123809523809524,0.0005131958333521069,0.0,0.001,0.001,0.001,0.002
Paludisphaera borealis,105.0,0.06934285714285714,0.06013987359152325,0.008,0.024,0.06,0.094,0.325
Pannonibacter phragmitetus,105.0,0.0233047619047619,0.008885082365667114,0.008,0.016,0.023,0.029,0.048
Paraburkholderia phenoliruptrix,105.0,0.028819047619047612,0.026571666862533858,0.002,0.01,0.019,0.038,0.153
Paraburkholderia phymatum,105.0,0.07598095238095239,0.05820916874520135,0.009,0.0349999999999999,0.055,0.095,0.392
Paraburkholderia phytofirmans,105.0,0.7138285714285714,0.9074875127043267,0.015,0.12,0.402,0.96,5.707
Paracoccus aminophilus,105.0,0.00841904761904761,0.0032868647452366892,0.003,0.006,0.008,0.011,0.018
Paraglaciecola psychrophila,105.0,8.571428571428573e-05,0.0002812843385630973,0.0,0.0,0.0,0.0,0.001
Pararhodospirillum photometricum,105.0,0.010361904761904753,0.004690669563333248,0.003,0.006,0.01,0.013,0.023
Pelodictyon phaeoclathratiforme,105.0,0.0006380952380952382,0.000482856275873249,0.0,0.0,0.001,0.001,0.001
Peptoclostridium acidaminophilum,105.0,0.0003047619047619048,0.00046251423104528785,0.0,0.0,0.0,0.001,0.001
Persephonella marina,105.0,0.0004190476190476191,0.0005147992958603528,0.0,0.0,0.0,0.001,0.002
Phaeobacter gallaeciensis,105.0,0.007647619047619032,0.002974186871362915,0.002,0.005,0.008,0.01,0.015
Phaeobacter inhibens,105.0,0.006495238095238082,0.0025687613354562124,0.002,0.004,0.006,0.008,0.013
Phaeobacter piscinae,105.0,0.0033809523809523786,0.0014099983113802716,0.001,0.002,0.003,0.004,0.0069999999999999
Phaeobacter porticola,105.0,0.0018571428571428578,0.0007774288420142416,0.001,0.001,0.002,0.002,0.004
Phaeobacter sp. LSS9,105.0,0.00454285714285714,0.0017154757774032047,0.002,0.003,0.004,0.006,0.009
